key,en,ar
Play,Start,يبدأ
Login,Login,تسجيل الدخول
Options,Options,خيارات
ASD VR Assessment,ASD VR Assessment,تقييم الواقع الافتراضي لاضطراب طيف التوحد
Back,Back,سابق
Tutorial 1,Tutorial 1,الممارسة 1
Tutorial 2,Tutorial 2,الممارسة 2
Mall of Oman,Mall of Oman,مول
Rehabilitation Centre,Support Centre,مركز الدعم
Play Area,Play Area,منطقة اللعب
Enter a name to be saved onto the database:,Enter a name to be saved onto the database:,أدخل اسمًا لحفظه في قاعدة البيانات:
Enter a username…,Enter a username…,أدخل اسم المستخدم…
Save with Name,Save with Name,حفظ بالاسم
Save Anonymously,Save Anonymously,حفظ بدون اسم
Language,Language,لغة
Music & Sound,Music & Sound,الموسيقى والصوت
Music Slider:,Music Slider:,شريط تمرير الموسيقى:
Sound Slider:,Sound Slider:,شريط تمرير الصوت:
Arabic,عربي,عربي
English,English,English
Next,Next,التالي
Welcome ,Welcome ,مرحباً 
What would you like to play?,What would you like to play?,ماذا تريد أن تلعب؟
Tutorials:,Tutorials:,الممارسات
Scenarios:,Scenarios:,السيناريوهات
Proceed,Proceed,تغيير المستوى
"This emotion is ""Anger""",This emotion is Anger,هذه العاطفة هي الغضب
"This emotion is ""Fear""",This emotion is Fear,هذه العاطفة هي الخوف
"This emotion is ""Happiness""",This emotion is Happiness,هذا الشعور هو السعادة
"This emotion is ""Sadness""",This emotion is Sadness,هذا الشعور هو الحزن
"Welcome to 
tutorial stage 2","Welcome to 
tutorial stage 2",مرحباً بكم في المرحلة التعليمية الثانية
Select the image that represents 'happy' 😃,Select the image that represents 'happy' 😃,"اختر الصورة التي تمثل ""السعادة""😃"
Select the image that represents 'fear' 😱,Select the image that represents 'fear'😱,"حدد الصورة التي تمثل ""الخوف""😱"
Select the image that represents 'sad' 😞,Select the image that represents 'sad'😞,"حدد الصورة التي تمثل ""الحزن""😞"
Select the image that represents 'angry' 😠,Select the image that represents 'angry'😠,"حدد الصورة التي تمثل ""الغضب""😠"
Good job!,Good job!,أحسنت!
Restart,Restart,إعادة تشغيل
Wonderful,Wonderful,رائع
Wonderful! You have finished the tutorial,Wonderful! You have finished the tutorial,رائع! لقد انتهيت من البرنامج التعليمي.
Click on the 'Proceed' button to move to the next stage,Click on the 'Proceed' button to move to the next stage,"انقر على زر ""تغيير المستوى"" للانتقال إلى الخطوة التالية."
"Tip:
Look out for
Eyebrows furrowing","Tip:
Look out for
Eyebrows furrowing",نصيحة: انتبه للحاجبين المتجهين للأسفل
"Tip:
Look out for
Body being close together","Tip:
Look out for
Body being close together",نصيحة: ابحث عن اليدين القريبتين من الجسم
"Tip:
Look out for
Mouth corners pulled up","Tip:
Look out for
Mouth corners pulled up",نصيحة: انتبه لزوايا الفم المرفوعة
"Tip:
Look out for
Mouth corners pulled downward","Tip:
Look out for
Mouth corners pulled downward",نصيحة: انتبه لزوايا الفم المسحوبة للأسفل
Back To Menu,Back To Menu,العودة إلى القائمة
Customization,Customization,التخصيص
Enter a username…,Enter a username...,أدخل اسم المستخدم…
There's a young girl named Mariam standing nearby,There's a young girl named Mariam\nstanding nearby,هناك فتاة صغيرة اسمها مريم تقف في مكان قريب.
Mariam appears to be lost Observe her closely,Mariam appears to be lost\nObserve her closely,"مريم تبدو تائهة، راقبها عن كثب."
How do you think Mariam is feeling?,How do you think\nMariam is feeling?,ما رأيك بما تشعر به مريم؟
Mom? Dad? Where are you?,Mom? Dad? Where are you?,أمي؟ أبي؟ أين أنت؟
I can't find them,I... I can't find them…,انا...لا استطيع العثور عليهم…
Continue,Continue,التالي
Welcome to the mall,Welcome to the mall,مرحبا بكم في المركز التجاري
Happy,Happy,سعيد
Anger,Anger,الغضب
Fear,Fear,يخاف
Sad,Sad,حزين
Mariam does not seem happy She is not smiling,Mariam does not seem happy\nShe is not smiling,"مريم لا تبدو سعيدة، فهي لا تبتسم."
Mariam may seem sad but do you think she is feeling something else?,Mariam may seem sad\nbut do you think she is feeling something else?,"قد تبدو ماري حزينة، لكن هل تعتقد أنها تشعر بشيء آخر؟"
Correct Mariam is feeling fear Her hands are close to her body,Correct Mariam is feeling fear\nHer hands are close to her body,صحيح أن مريم تشعر بالخوف. يداها قريبتان من جسدها.
Mariam does not seem angry Her eyebrows do not curl downwards,Mariam does not seem angry\nHer eyebrows do not curl downwards,ماري لا تبدو غاضبة. حواجبها لا تتجعد.
Mom! Dad! I'm here!,Mom! Dad! I'm here!,أمي! أبي! أنا هنا!
Press 'Continue' to move onto a different level,Press 'Continue' to move onto a different level,"انقر على زر ""تغيير المستوى"" للانتقال إلى الخطوة التالية."
Correct she is feeling happy because she got a gift,Correct she is feeling happy \nbecause she got a gift,صحيح أنها تشعر بالسعادة لأنها حصلت على هدية
She does not seem sad,She does not seem sad,لا يبدو أنها حزينة
She does not seem afraid,She does not seem afraid,لا يبدو أنها خائفة
She does not seem angry,She does not seem angry,لا يبدو أنها غاضبة
What does the girl feel?,What does the girl feel?,ماذا تشعر الفتاة؟
